timestamp,session_label,site_name,scanner_name,scanner_id,test_name,value,unit,criteria,status,details,source_file,sequence_label
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Thickness Accuracy,5.364,mm,4.3 to 5.7 mm,PASS,Measured slice thickness: 5.364 mm,Slice Thickness accuracy.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Position Accuracy,,mm,Absolute value of Slice 1 and Slice 11 <= 5 mm,PASS,"Slice 1: -3.662 mm, Slice 11: -1.953 mm",Position accuracy.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Signal to Noise Ratio,80.467,,Compare to site baseline / trend,PASS,SNR: 80.467,SNR.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Percentage Signal Ghosting,0.105616103,%,<= 2.5%,PASS,Ghosting ratio: 0.105616103%,Ghosting test.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Low Contrast Detectability,,spokes,"Site/ACR target threshold, commonly >= 37 for strong performance",PASS,"T1 spokes: 37.0, T2 spokes: 37.0",LCD test.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T2,94.75,%,>= 87.5%,PASS,PIU: 94.75%,Image Uniformity T2.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T1,94.71,%,>= 87.5%,PASS,PIU: 94.71%,Image Uniformity Test T1.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T2,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",HCR-T2.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T1,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",HCR-T1.txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Geometric Accuracy,189.90516666666667,mm,T1 dimensions should be 190 +/- 2 mm,PASS,"T1 measurements: [189.944, 190.445, 189.908, 189.226, 189.463, 190.445]",Geometric Accuracy..txt,
2026-03-24T12:40:40,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Central Frequency,63.892248,MHz,Trend against system baseline,PASS,Central frequency: 63.892248 MHz,Central Frequency.txt,
2026-03-26T09:38:15,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Position Accuracy,3.662,mm,Absolute value of Slice 1 and Slice 11 <= 5 mm,PASS,Worst absolute position error from T1/T2 used for result. T1: 3.662 mm. Selected worst value: 3.662 mm,COMBINED_T1_T2,COMBINED
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Geometric Accuracy,189.94266666666667,mm,T1 dimensions should be 190 +/- 2 mm,PASS,"T1 measurements: [189.947, 190.43, 190.245, 188.171, 189.944, 190.919]",geometric accuracy t1.txt,T1
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Thickness Accuracy,5.45,mm,4.3 to 5.7 mm,PASS,Worst of T1/T2 used for result. T1: 5.45 mm. Selected worst value: 5.45 mm,COMBINED_T1_T2,COMBINED
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Position Accuracy,3.906,mm,Absolute value of Slice 1 and Slice 11 <= 5 mm,PASS,Worst absolute position error from T1/T2 used for result. T1: 3.906 mm. Selected worst value: 3.906 mm,COMBINED_T1_T2,COMBINED
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T1,96.28,%,>= 87.5%,PASS,PIU: 96.28%,PIU t1.txt,T1
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Percentage Signal Ghosting,0.1060013557,%,<= 2.5%,PASS,Ghosting ratio: 0.1060013557%,GHOSTING T1.txt,T1
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Low Contrast Detectability,40.0,spokes,"Site/ACR target threshold, commonly >= 37 for strong performance",PASS,"T1 spokes: 40.0, T2 spokes: 40.0, worst: 40.0",LCD.txt,T1
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T1,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",hcr t1.txt,T1
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Signal to Noise Ratio,84.768,,Compare to site baseline / trend,PASS,SNR: 84.768,SNR.txt,T1
2026-04-30T15:12:23,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Central Frequency,63.892376,MHz,Trend against system baseline,PASS,Central frequency: 63.892376 MHz,CF.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Geometric Accuracy,189.94266666666667,mm,T1 dimensions should be 190 +/- 2 mm,PASS,"T1 measurements: [189.947, 190.43, 190.245, 188.171, 189.944, 190.919]",geometric accuracy t1.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Thickness Accuracy,5.45,mm,4.3 to 5.7 mm,PASS,Worst of T1/T2 used for result. T1: 5.45 mm. Selected worst value: 5.45 mm,COMBINED_T1_T2,COMBINED
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Position Accuracy,3.906,mm,Absolute value of Slice 1 and Slice 11 <= 5 mm,PASS,Worst absolute position error from T1/T2 used for result. T1: 3.906 mm. Selected worst value: 3.906 mm,COMBINED_T1_T2,COMBINED
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T1,96.28,%,>= 87.5%,PASS,PIU: 96.28%,PIU t1.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Percentage Signal Ghosting,0.1060013557,%,<= 2.5%,PASS,Ghosting ratio: 0.1060013557%,GHOSTING T1.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Low Contrast Detectability,40.0,spokes,"Site/ACR target threshold, commonly >= 37 for strong performance",PASS,"T1 spokes: 40.0, T2 spokes: 40.0, worst: 40.0",LCD.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T1,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",hcr t1.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Signal to Noise Ratio,84.768,,Compare to site baseline / trend,PASS,SNR: 84.768,SNR.txt,T1
2026-04-30T15:12:25,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Central Frequency,63.892376,MHz,Trend against system baseline,PASS,Central frequency: 63.892376 MHz,CF.txt,T1
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Geometric Accuracy,190.0123333333333,mm,T1 dimensions should be 190 +/- 2 mm,PASS,"T1 measurements: [188.988, 190.92, 189.897, 189.898, 189.941, 190.43]",geometric accuracy.txt,T1
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Thickness Accuracy,5.513,mm,4.3 to 5.7 mm,PASS,Worst of T1/T2 used for result. T1: 5.513 mm. Selected worst value: 5.513 mm,COMBINED_T1_T2,COMBINED
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Position Accuracy,1.506,mm,Absolute value of Slice 1 and Slice 11 <= 5 mm,PASS,Worst absolute position error from T1/T2 used for result. T1: 1.506 mm. Selected worst value: 1.506 mm,COMBINED_T1_T2,COMBINED
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T1,96.63,%,>= 87.5%,PASS,PIU: 96.63%,uniformity.txt,T1
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Percentage Signal Ghosting,0.1009974615,%,<= 2.5%,PASS,Ghosting ratio: 0.1009974615%,ghosting.txt,T1
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Low Contrast Detectability,39.0,spokes,"Site/ACR target threshold, commonly >= 37 for strong performance",PASS,"T1 spokes: 39.0, T2 spokes: 39.0, worst: 39.0",lcr.txt,T1
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T2,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",hcr.txt,T2
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Signal to Noise Ratio,90.85,,Compare to site baseline / trend,PASS,SNR: 90.85,snr.txt,T1
2026-07-27T09:44:12,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Central Frequency,63.892356,MHz,Trend against system baseline,PASS,Central frequency: 63.892356 MHz,cf.txt,T1
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Geometric Accuracy,190.0123333333333,mm,T1 dimensions should be 190 +/- 2 mm,PASS,"T1 measurements: [188.988, 190.92, 189.897, 189.898, 189.941, 190.43]",geometric accuracy.txt,T1
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Thickness Accuracy,5.513,mm,4.3 to 5.7 mm,PASS,Worst of T1/T2 used for result. T1: 5.513 mm. Selected worst value: 5.513 mm,COMBINED_T1_T2,COMBINED
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Slice Position Accuracy,1.506,mm,Absolute value of Slice 1 and Slice 11 <= 5 mm,PASS,Worst absolute position error from T1/T2 used for result. T1: 1.506 mm. Selected worst value: 1.506 mm,COMBINED_T1_T2,COMBINED
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T1,96.63,%,>= 87.5%,PASS,PIU: 96.63%,uniformity.txt,T1
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Percentage Signal Ghosting,0.1009974615,%,<= 2.5%,PASS,Ghosting ratio: 0.1009974615%,ghosting.txt,T1
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Low Contrast Detectability,39.0,spokes,"Site/ACR target threshold, commonly >= 37 for strong performance",PASS,"T1 spokes: 39.0, T2 spokes: 39.0, worst: 39.0",lcr.txt,T1
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T2,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",hcr.txt,T2
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Signal to Noise Ratio,90.85,,Compare to site baseline / trend,PASS,SNR: 90.85,snr.txt,T1
2026-07-27T09:46:00,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Central Frequency,63.892356,MHz,Trend against system baseline,PASS,Central frequency: 63.892356 MHz,cf.txt,T1
2026-07-28T06:50:08,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,High Contrast Spatial Resolution T2,1.0,mm,Must resolve 1.0 mm holes,PASS,"Upper: 1.0 mm, Lower: 1.0 mm",hcr t2.txt,T2
2026-07-28T06:54:43,Monthly QC,Limassol General Hospital,Philips Ingenia 1.5T,limassol_general_hospital_philips_ingenia_1_5t,Image Uniformity T2,95.99,%,>= 87.5%,PASS,PIU: 95.99%,uniformity t2.txt,T2
